Cement (component 1)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
198.6 ,192.0 ,825.5 ,978.4 ,0.0 ,132.4 ,0.0 ,180 ,41.72 
475.0 ,228.0 ,594.0 ,932.0 ,0.0 ,0.0 ,0.0 ,270 ,42.13 
190.0 ,228.0 ,670.0 ,932.0 ,0.0 ,190.0 ,0.0 ,365 ,53.69 
237.5 ,228.0 ,594.0 ,932.0 ,0.0 ,237.5 ,0.0 ,270 ,38.41 
237.5 ,228.0 ,594.0 ,932.0 ,0.0 ,237.5 ,0.0 ,28 ,30.08 
332.5 ,228.0 ,594.0 ,932.0 ,0.0 ,142.5 ,0.0 ,90 ,37.72 
475.0 ,228.0 ,594.0 ,932.0 ,0.0 ,0.0 ,0.0 ,90 ,42.23 
237.5 ,228.0 ,594.0 ,932.0 ,0.0 ,237.5 ,0.0 ,180 ,36.25 
342.0 ,228.0 ,670.0 ,932.0 ,0.0 ,38.0 ,0.0 ,90 ,50.46 
427.5 ,228.0 ,594.0 ,932.0 ,0.0 ,47.5 ,0.0 ,365 ,43.70 
237.5 ,228.0 ,594.0 ,932.0 ,0.0 ,237.5 ,0.0 ,365 ,39.00 
380.0 ,228.0 ,670.0 ,932.0 ,0.0 ,0.0 ,0.0 ,180 ,53.10 
427.5 ,228.0 ,594.0 ,932.0 ,0.0 ,47.5 ,0.0 ,90 ,41.54 
427.5 ,228.0 ,594.0 ,932.0 ,0.0 ,47.5 ,0.0 ,7 ,35.08 
349.0 ,192.0 ,806.9 ,1047.0 ,0.0 ,0.0 ,0.0 ,3 ,15.05 
380.0 ,228.0 ,594.0 ,932.0 ,0.0 ,95.0 ,0.0 ,180 ,40.76 
237.5 ,228.0 ,594.0 ,932.0 ,0.0 ,237.5 ,0.0 ,7 ,26.26 
380.0 ,228.0 ,594.0 ,932.0 ,0.0 ,95.0 ,0.0 ,7 ,32.82 
332.5 ,228.0 ,594.0 ,932.0 ,0.0 ,142.5 ,0.0 ,180 ,39.78 
190.0 ,228.0 ,670.0 ,932.0 ,0.0 ,190.0 ,0.0 ,180 ,46.93 
237.5 ,228.0 ,594.0 ,932.0 ,0.0 ,237.5 ,0.0 ,90 ,33.12 
304.0 ,228.0 ,670.0 ,932.0 ,0.0 ,76.0 ,0.0 ,90 ,49.19 
139.6 ,192.0 ,806.9 ,1047.0 ,0.0 ,209.4 ,0.0 ,7 ,14.59 
198.6 ,192.0 ,825.5 ,978.4 ,0.0 ,132.4 ,0.0 ,7 ,14.64 
475.0 ,228.0 ,594.0 ,932.0 ,0.0 ,0.0 ,0.0 ,365 ,41.93 
198.6 ,192.0 ,825.5 ,978.4 ,0.0 ,132.4 ,0.0 ,3 ,9.13 
304.0 ,228.0 ,670.0 ,932.0 ,0.0 ,76.0 ,0.0 ,180 ,50.95 
332.5 ,228.0 ,594.0 ,932.0 ,0.0 ,142.5 ,0.0 ,28 ,33.02 
304.0 ,228.0 ,670.0 ,932.0 ,0.0 ,76.0 ,0.0 ,270 ,54.38 
266.0 ,228.0 ,670.0 ,932.0 ,0.0 ,114.0 ,0.0 ,270 ,51.73 
310.0 ,192.0 ,850.6 ,971.0 ,0.0 ,0.0 ,0.0 ,3 ,9.87 
190.0 ,228.0 ,670.0 ,932.0 ,0.0 ,190.0 ,0.0 ,270 ,50.66 
266.0 ,228.0 ,670.0 ,932.0 ,0.0 ,114.0 ,0.0 ,180 ,48.70 
342.0 ,228.0 ,670.0 ,932.0 ,0.0 ,38.0 ,0.0 ,270 ,55.06 
139.6 ,192.0 ,806.9 ,1047.0 ,0.0 ,209.4 ,0.0 ,360 ,44.70 
332.5 ,228.0 ,594.0 ,932.0 ,0.0 ,142.5 ,0.0 ,7 ,30.28 
190.0 ,228.0 ,670.0 ,932.0 ,0.0 ,190.0 ,0.0 ,28 ,40.86 
485.0 ,146.0 ,800.0 ,1120.0 ,0.0 ,0.0 ,0.0 ,28 ,71.99 
374.0 ,170.1 ,756.7 ,926.1 ,0.0 ,189.2 ,10.1 ,3 ,34.40 
313.3 ,175.5 ,611.8 ,1046.9 ,0.0 ,262.2 ,8.6 ,3 ,28.80 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,3 ,33.40 
425.0 ,151.4 ,803.7 ,936.0 ,0.0 ,106.3 ,18.6 ,3 ,36.30 
375.0 ,126.6 ,992.6 ,852.1 ,0.0 ,93.8 ,23.4 ,3 ,29.00 
475.0 ,181.1 ,781.5 ,852.1 ,0.0 ,118.8 ,8.9 ,3 ,37.80 
469.0 ,137.8 ,840.5 ,852.1 ,0.0 ,117.2 ,32.2 ,3 ,40.20 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,3 ,33.40 
388.6 ,157.9 ,925.7 ,852.1 ,0.0 ,97.1 ,12.1 ,3 ,28.10 
531.3 ,141.8 ,893.7 ,852.1 ,0.0 ,0.0 ,28.2 ,3 ,41.30 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,3 ,33.40 
318.8 ,155.7 ,880.4 ,852.1 ,0.0 ,212.5 ,14.3 ,3 ,25.20 
401.8 ,147.4 ,852.1 ,946.8 ,0.0 ,94.7 ,11.4 ,3 ,41.10 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,3 ,35.30 
323.7 ,183.8 ,659.9 ,942.7 ,0.0 ,282.8 ,10.3 ,3 ,28.30 
379.5 ,153.9 ,605.0 ,1134.3 ,0.0 ,151.2 ,15.9 ,3 ,28.60 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,3 ,35.30 
286.3 ,144.7 ,803.7 ,1004.6 ,0.0 ,200.9 ,11.2 ,3 ,24.40 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,3 ,35.30 
439.0 ,186.0 ,707.9 ,884.9 ,0.0 ,177.0 ,11.1 ,3 ,39.30 
389.9 ,145.9 ,755.8 ,944.7 ,0.0 ,189.0 ,22.0 ,3 ,40.60 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,3 ,35.30 
337.9 ,174.9 ,755.8 ,944.7 ,0.0 ,189.0 ,9.5 ,3 ,24.10 
374.0 ,170.1 ,756.7 ,926.1 ,0.0 ,189.2 ,10.1 ,7 ,46.20 
313.3 ,175.5 ,611.8 ,1046.9 ,0.0 ,262.2 ,8.6 ,7 ,42.80 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,7 ,49.20 
425.0 ,151.4 ,803.7 ,936.0 ,0.0 ,106.3 ,18.6 ,7 ,46.80 
375.0 ,126.6 ,992.6 ,852.1 ,0.0 ,93.8 ,23.4 ,7 ,45.70 
475.0 ,181.1 ,781.5 ,852.1 ,0.0 ,118.8 ,8.9 ,7 ,55.60 
469.0 ,137.8 ,840.5 ,852.1 ,0.0 ,117.2 ,32.2 ,7 ,54.90 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,7 ,49.20 
388.6 ,157.9 ,925.7 ,852.1 ,0.0 ,97.1 ,12.1 ,7 ,34.90 
531.3 ,141.8 ,893.7 ,852.1 ,0.0 ,0.0 ,28.2 ,7 ,46.90 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,7 ,49.20 
318.8 ,155.7 ,880.4 ,852.1 ,0.0 ,212.5 ,14.3 ,7 ,33.40 
401.8 ,147.4 ,852.1 ,946.8 ,0.0 ,94.7 ,11.4 ,7 ,54.10 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,7 ,55.90 
323.7 ,183.8 ,659.9 ,942.7 ,0.0 ,282.8 ,10.3 ,7 ,49.80 
379.5 ,153.9 ,605.0 ,1134.3 ,0.0 ,151.2 ,15.9 ,7 ,47.10 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,7 ,55.90 
286.3 ,144.7 ,803.7 ,1004.6 ,0.0 ,200.9 ,11.2 ,7 ,38.00 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,7 ,55.90 
439.0 ,186.0 ,707.9 ,884.9 ,0.0 ,177.0 ,11.1 ,7 ,56.10 
389.9 ,145.9 ,755.8 ,944.7 ,0.0 ,189.0 ,22.0 ,7 ,59.09 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,7 ,22.90 
337.9 ,174.9 ,755.8 ,944.7 ,0.0 ,189.0 ,9.5 ,7 ,35.10 
374.0 ,170.1 ,756.7 ,926.1 ,0.0 ,189.2 ,10.1 ,28 ,61.09 
313.3 ,175.5 ,611.8 ,1046.9 ,0.0 ,262.2 ,8.6 ,28 ,59.80 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,28 ,60.29 
425.0 ,151.4 ,803.7 ,936.0 ,0.0 ,106.3 ,18.6 ,28 ,61.80 
375.0 ,126.6 ,992.6 ,852.1 ,0.0 ,93.8 ,23.4 ,28 ,56.70 
475.0 ,181.1 ,781.5 ,852.1 ,0.0 ,118.8 ,8.9 ,28 ,68.30 
469.0 ,137.8 ,840.5 ,852.1 ,0.0 ,117.2 ,32.2 ,28 ,66.90 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,28 ,60.29 
388.6 ,157.9 ,925.7 ,852.1 ,0.0 ,97.1 ,12.1 ,28 ,50.70 
531.3 ,141.8 ,893.7 ,852.1 ,0.0 ,0.0 ,28.2 ,28 ,56.40 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,28 ,60.29 
318.8 ,155.7 ,880.4 ,852.1 ,0.0 ,212.5 ,14.3 ,28 ,55.50 
401.8 ,147.4 ,852.1 ,946.8 ,0.0 ,94.7 ,11.4 ,28 ,68.50 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,28 ,71.30 
323.7 ,183.8 ,659.9 ,942.7 ,0.0 ,282.8 ,10.3 ,28 ,74.70 
379.5 ,153.9 ,605.0 ,1134.3 ,0.0 ,151.2 ,15.9 ,28 ,52.20 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,28 ,71.30 
286.3 ,144.7 ,803.7 ,1004.6 ,0.0 ,200.9 ,11.2 ,28 ,67.70 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,28 ,71.30 
439.0 ,186.0 ,707.9 ,884.9 ,0.0 ,177.0 ,11.1 ,28 ,66.00 
389.9 ,145.9 ,755.8 ,944.7 ,0.0 ,189.0 ,22.0 ,28 ,74.50 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,28 ,71.30 
337.9 ,174.9 ,755.8 ,944.7 ,0.0 ,189.0 ,9.5 ,28 ,49.90 
374.0 ,170.1 ,756.7 ,926.1 ,0.0 ,189.2 ,10.1 ,56 ,63.40 
313.3 ,175.5 ,611.8 ,1046.9 ,0.0 ,262.2 ,8.6 ,56 ,64.90 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,56 ,64.30 
425.0 ,151.4 ,803.7 ,936.0 ,0.0 ,106.3 ,18.6 ,56 ,64.90 
375.0 ,126.6 ,992.6 ,852.1 ,0.0 ,93.8 ,23.4 ,56 ,60.20 
475.0 ,181.1 ,781.5 ,852.1 ,0.0 ,118.8 ,8.9 ,56 ,72.30 
469.0 ,137.8 ,840.5 ,852.1 ,0.0 ,117.2 ,32.2 ,56 ,69.30 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,56 ,64.30 
388.6 ,157.9 ,925.7 ,852.1 ,0.0 ,97.1 ,12.1 ,56 ,55.20 
531.3 ,141.8 ,893.7 ,852.1 ,0.0 ,0.0 ,28.2 ,56 ,58.80 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,56 ,64.30 
318.8 ,155.7 ,880.4 ,852.1 ,0.0 ,212.5 ,14.3 ,56 ,66.10 
401.8 ,147.4 ,852.1 ,946.8 ,0.0 ,94.7 ,11.4 ,56 ,73.70 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,56 ,77.30 
323.7 ,183.8 ,659.9 ,942.7 ,0.0 ,282.8 ,10.3 ,56 ,80.20 
379.5 ,153.9 ,605.0 ,1134.3 ,0.0 ,151.2 ,15.9 ,56 ,54.90 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,56 ,77.30 
286.3 ,144.7 ,803.7 ,1004.6 ,0.0 ,200.9 ,11.2 ,56 ,72.99 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,56 ,77.30 
439.0 ,186.0 ,707.9 ,884.9 ,0.0 ,177.0 ,11.1 ,56 ,71.70 
389.9 ,145.9 ,755.8 ,944.7 ,0.0 ,189.0 ,22.0 ,56 ,79.40 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,56 ,77.30 
337.9 ,174.9 ,755.8 ,944.7 ,0.0 ,189.0 ,9.5 ,56 ,59.89 
374.0 ,170.1 ,756.7 ,926.1 ,0.0 ,189.2 ,10.1 ,91 ,64.90 
313.3 ,175.5 ,611.8 ,1046.9 ,0.0 ,262.2 ,8.6 ,91 ,66.60 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,91 ,65.20 
425.0 ,151.4 ,803.7 ,936.0 ,0.0 ,106.3 ,18.6 ,91 ,66.70 
375.0 ,126.6 ,992.6 ,852.1 ,0.0 ,93.8 ,23.4 ,91 ,62.50 
475.0 ,181.1 ,781.5 ,852.1 ,0.0 ,118.8 ,8.9 ,91 ,74.19 
469.0 ,137.8 ,840.5 ,852.1 ,0.0 ,117.2 ,32.2 ,91 ,70.70 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,91 ,65.20 
388.6 ,157.9 ,925.7 ,852.1 ,0.0 ,97.1 ,12.1 ,91 ,57.60 
531.3 ,141.8 ,893.7 ,852.1 ,0.0 ,0.0 ,28.2 ,91 ,59.20 
425.0 ,153.5 ,887.1 ,852.1 ,0.0 ,106.3 ,16.5 ,91 ,65.20 
318.8 ,155.7 ,880.4 ,852.1 ,0.0 ,212.5 ,14.3 ,91 ,68.10 
401.8 ,147.4 ,852.1 ,946.8 ,0.0 ,94.7 ,11.4 ,91 ,75.50 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,91 ,79.30 
379.5 ,153.9 ,605.0 ,1134.3 ,0.0 ,151.2 ,15.9 ,91 ,56.50 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,91 ,79.30 
286.3 ,144.7 ,803.7 ,1004.6 ,0.0 ,200.9 ,11.2 ,91 ,76.80 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,91 ,79.30 
439.0 ,186.0 ,707.9 ,884.9 ,0.0 ,177.0 ,11.1 ,91 ,73.30 
389.9 ,145.9 ,755.8 ,944.7 ,0.0 ,189.0 ,22.0 ,91 ,82.60 
362.6 ,164.9 ,755.8 ,944.7 ,0.0 ,189.0 ,11.6 ,91 ,79.30 
337.9 ,174.9 ,755.8 ,944.7 ,0.0 ,189.0 ,9.5 ,91 ,67.80 
222.4 ,189.3 ,870.3 ,967.1 ,96.7 ,0.0 ,4.5 ,3 ,11.58 
222.4 ,189.3 ,870.3 ,967.1 ,96.7 ,0.0 ,4.5 ,14 ,24.45 
222.4 ,189.3 ,870.3 ,967.1 ,96.7 ,0.0 ,4.5 ,28 ,24.89 
222.4 ,189.3 ,870.3 ,967.1 ,96.7 ,0.0 ,4.5 ,56 ,29.45 
222.4 ,189.3 ,870.3 ,967.1 ,96.7 ,0.0 ,4.5 ,100 ,40.71 
233.8 ,197.9 ,852.2 ,947.0 ,94.6 ,0.0 ,4.6 ,3 ,10.38 
233.8 ,197.9 ,852.2 ,947.0 ,94.6 ,0.0 ,4.6 ,14 ,22.14 
233.8 ,197.9 ,852.2 ,947.0 ,94.6 ,0.0 ,4.6 ,28 ,22.84 
233.8 ,197.9 ,852.2 ,947.0 ,94.6 ,0.0 ,4.6 ,56 ,27.66 
233.8 ,197.9 ,852.2 ,947.0 ,94.6 ,0.0 ,4.6 ,100 ,34.56 
194.7 ,165.6 ,905.9 ,1006.4 ,100.5 ,0.0 ,7.5 ,3 ,12.45 
194.7 ,165.6 ,905.9 ,1006.4 ,100.5 ,0.0 ,7.5 ,14 ,24.99 
194.7 ,165.6 ,905.9 ,1006.4 ,100.5 ,0.0 ,7.5 ,28 ,25.72 
194.7 ,165.6 ,905.9 ,1006.4 ,100.5 ,0.0 ,7.5 ,56 ,33.96 
194.7 ,165.6 ,905.9 ,1006.4 ,100.5 ,0.0 ,7.5 ,100 ,37.34 
190.7 ,162.1 ,804.0 ,1090.0 ,125.4 ,0.0 ,7.8 ,3 ,15.04 
190.7 ,162.1 ,804.0 ,1090.0 ,125.4 ,0.0 ,7.8 ,14 ,21.06 
190.7 ,162.1 ,804.0 ,1090.0 ,125.4 ,0.0 ,7.8 ,28 ,26.40 
190.7 ,162.1 ,804.0 ,1090.0 ,125.4 ,0.0 ,7.8 ,56 ,35.34 
190.7 ,162.1 ,804.0 ,1090.0 ,125.4 ,0.0 ,7.8 ,100 ,40.57 
212.1 ,180.3 ,779.3 ,1057.6 ,121.6 ,0.0 ,5.7 ,3 ,12.47 
212.1 ,180.3 ,779.3 ,1057.6 ,121.6 ,0.0 ,5.7 ,14 ,20.92 
212.1 ,180.3 ,779.3 ,1057.6 ,121.6 ,0.0 ,5.7 ,28 ,24.90 
212.1 ,180.3 ,779.3 ,1057.6 ,121.6 ,0.0 ,5.7 ,56 ,34.20 
212.1 ,180.3 ,779.3 ,1057.6 ,121.6 ,0.0 ,5.7 ,100 ,39.61 
230.0 ,195.5 ,758.6 ,1029.4 ,118.3 ,0.0 ,4.6 ,3 ,10.03 
230.0 ,195.5 ,758.6 ,1029.4 ,118.3 ,0.0 ,4.6 ,14 ,20.08 
230.0 ,195.5 ,758.6 ,1029.4 ,118.3 ,0.0 ,4.6 ,28 ,24.48 
230.0 ,195.5 ,758.6 ,1029.4 ,118.3 ,0.0 ,4.6 ,56 ,31.54 
230.0 ,195.5 ,758.6 ,1029.4 ,118.3 ,0.0 ,4.6 ,100 ,35.34 
190.3 ,161.9 ,802.6 ,1088.1 ,125.2 ,0.0 ,9.9 ,3 ,9.45 
190.3 ,161.9 ,802.6 ,1088.1 ,125.2 ,0.0 ,9.9 ,14 ,22.72 
190.3 ,161.9 ,802.6 ,1088.1 ,125.2 ,0.0 ,9.9 ,28 ,28.47 
190.3 ,161.9 ,802.6 ,1088.1 ,125.2 ,0.0 ,9.9 ,56 ,38.56 
190.3 ,161.9 ,802.6 ,1088.1 ,125.2 ,0.0 ,9.9 ,100 ,40.39 
166.1 ,176.5 ,780.1 ,1058.6 ,163.3 ,0.0 ,4.5 ,3 ,10.76 
166.1 ,176.5 ,780.1 ,1058.6 ,163.3 ,0.0 ,4.5 ,14 ,25.48 
166.1 ,176.5 ,780.1 ,1058.6 ,163.3 ,0.0 ,4.5 ,28 ,21.54 
166.1 ,176.5 ,780.1 ,1058.6 ,163.3 ,0.0 ,4.5 ,56 ,28.63 
166.1 ,176.5 ,780.1 ,1058.6 ,163.3 ,0.0 ,4.5 ,100 ,33.54 
168.0 ,121.8 ,780.1 ,1058.7 ,163.8 ,42.1 ,5.7 ,3 ,7.75 
168.0 ,121.8 ,780.1 ,1058.7 ,163.8 ,42.1 ,5.7 ,14 ,17.82 
168.0 ,121.8 ,780.1 ,1058.7 ,163.8 ,42.1 ,5.7 ,28 ,24.24 
168.0 ,121.8 ,780.1 ,1058.7 ,163.8 ,42.1 ,5.7 ,56 ,32.85 
168.0 ,121.8 ,780.1 ,1058.7 ,163.8 ,42.1 ,5.7 ,100 ,39.23 
213.7 ,181.7 ,785.4 ,1065.8 ,24.5 ,98.1 ,6.9 ,3 ,18.00 
213.7 ,181.7 ,785.4 ,1065.8 ,24.5 ,98.1 ,6.9 ,14 ,30.39 
213.7 ,181.7 ,785.4 ,1065.8 ,24.5 ,98.1 ,6.9 ,28 ,45.71 
213.7 ,181.7 ,785.4 ,1065.8 ,24.5 ,98.1 ,6.9 ,56 ,50.77 
213.7 ,181.7 ,785.4 ,1065.8 ,24.5 ,98.1 ,6.9 ,100 ,53.90 
213.8 ,181.7 ,785.5 ,1066.0 ,24.5 ,98.1 ,6.7 ,3 ,13.18 
213.8 ,181.7 ,785.5 ,1066.0 ,24.5 ,98.1 ,6.7 ,14 ,17.84 
213.8 ,181.7 ,785.5 ,1066.0 ,24.5 ,98.1 ,6.7 ,28 ,40.23 
213.8 ,181.7 ,785.5 ,1066.0 ,24.5 ,98.1 ,6.7 ,56 ,47.13 
213.8 ,181.7 ,785.5 ,1066.0 ,24.5 ,98.1 ,6.7 ,100 ,49.97 
229.7 ,195.2 ,757.6 ,1028.1 ,118.2 ,0.0 ,6.1 ,3 ,13.36 
229.7 ,195.2 ,757.6 ,1028.1 ,118.2 ,0.0 ,6.1 ,14 ,22.32 
229.7 ,195.2 ,757.6 ,1028.1 ,118.2 ,0.0 ,6.1 ,28 ,24.54 
229.7 ,195.2 ,757.6 ,1028.1 ,118.2 ,0.0 ,6.1 ,56 ,31.35 
229.7 ,195.2 ,757.6 ,1028.1 ,118.2 ,0.0 ,6.1 ,100 ,40.86 
238.1 ,186.7 ,847.0 ,949.9 ,94.1 ,0.0 ,7.0 ,3 ,19.93 
238.1 ,186.7 ,847.0 ,949.9 ,94.1 ,0.0 ,7.0 ,14 ,25.69 
238.1 ,186.7 ,847.0 ,949.9 ,94.1 ,0.0 ,7.0 ,28 ,30.23 
238.1 ,186.7 ,847.0 ,949.9 ,94.1 ,0.0 ,7.0 ,56 ,39.59 
238.1 ,186.7 ,847.0 ,949.9 ,94.1 ,0.0 ,7.0 ,100 ,44.30 
250.0 ,187.4 ,861.2 ,956.9 ,95.7 ,0.0 ,5.5 ,3 ,13.82 
250.0 ,187.4 ,861.2 ,956.9 ,95.7 ,0.0 ,5.5 ,14 ,24.92 
250.0 ,187.4 ,861.2 ,956.9 ,95.7 ,0.0 ,5.5 ,28 ,29.22 
250.0 ,187.4 ,861.2 ,956.9 ,95.7 ,0.0 ,5.5 ,56 ,38.33 
250.0 ,187.4 ,861.2 ,956.9 ,95.7 ,0.0 ,5.5 ,100 ,42.35 
212.5 ,159.3 ,903.6 ,1007.8 ,100.4 ,0.0 ,8.7 ,3 ,13.54 
212.5 ,159.3 ,903.6 ,1007.8 ,100.4 ,0.0 ,8.7 ,14 ,26.31 
212.5 ,159.3 ,903.6 ,1007.8 ,100.4 ,0.0 ,8.7 ,28 ,31.64 
212.5 ,159.3 ,903.6 ,1007.8 ,100.4 ,0.0 ,8.7 ,56 ,42.55 
212.5 ,159.3 ,903.6 ,1007.8 ,100.4 ,0.0 ,8.7 ,100 ,42.92 
212.6 ,159.4 ,903.8 ,1003.8 ,100.4 ,0.0 ,10.4 ,3 ,13.33 
212.6 ,159.4 ,903.8 ,1003.8 ,100.4 ,0.0 ,10.4 ,14 ,25.37 
212.6 ,159.4 ,903.8 ,1003.8 ,100.4 ,0.0 ,10.4 ,28 ,37.40 
212.6 ,159.4 ,903.8 ,1003.8 ,100.4 ,0.0 ,10.4 ,56 ,44.40 
212.6 ,159.4 ,903.8 ,1003.8 ,100.4 ,0.0 ,10.4 ,100 ,47.74 
